Date,Open,High,Low,Close,Volume
6/29/2023,14965.55,14939.95,14986.89,14876.94,79010
6/28/2023,14876.25,14964.58,15051.08,14865.81,84234
6/27/2023,14751.57,14945.91,14972.32,14726.75,87668
6/26/2023,14866.66,14689.02,14982.82,14687.02,86145
6/23/2023,14879.23,14891.48,14983.73,14821.81,82667
6/22/2023,14797.89,15042.32,15044.22,14794.95,81163
6/21/2023,15019.01,14867.45,15038.9,14826.02,90569
6/20/2023,15036.48,15070.15,15127.42,14946.72,82517
6/16/2023,15272.65,15083.92,15284.65,15073.45,108610
6/15/2023,14949.7,15185.48,15246.62,14930.12,93188
6/14/2023,14894.1,15005.69,15017.1,14784.62,93042
6/13/2023,14911.26,14900.85,14931.83,14770.14,92824
6/12/2023,14617.35,14784.3,14789.6,14571.36,82142
6/9/2023,14574.24,14528.36,14672.85,14487.48,83827
6/8/2023,14319.24,14484.54,14503.31,14314.7,82366
6/7/2023,14573.27,14303.29,14647.91,14283.88,100698
6/6/2023,14526.1,14558.09,14593.5,14476.99,82193
6/5/2023,14550.13,14556.5,14662.95,14516.88,86436
6/2/2023,14517.08,14546.64,14595.81,14442.15,89075
6/1/2023,14269.09,14441.51,14493.31,14219.94,102011
5/31/2023,14293.56,14254.09,14375.38,14216.16,101379
5/30/2023,14465.59,14354.99,14520.17,14301.08,99338
5/26/2023,13990.55,14298.41,14329.49,13982.16,105544
5/25/2023,13920.89,13938.53,13986.87,13812.18,100544
5/24/2023,13589.02,13604.48,13655.73,13520.92,75178
5/23/2023,13773.68,13672.54,13827.1,13662.91,78655
5/22/2023,13805.34,13849.74,13893.71,13792.97,76058
5/19/2023,13842.69,13803.49,13874.42,13763.9,74942
5/18/2023,13608.95,13834.62,13844.76,13606.81,84436
5/17/2023,13474.52,13589.26,13608.33,13419.35,73741
5/16/2023,13385.37,13426.01,13498.44,13384.78,70976
5/15/2023,13352.26,13413.51,13419.81,13297.85,63679
5/12/2023,13407.02,13340.18,13427.42,13256.56,70734
5/11/2023,13376.86,13389.78,13411.7,13306.08,78319
5/10/2023,13308.42,13347.83,13384.42,13204.79,86422
5/9/2023,13228.64,13201.11,13254.81,13193.88,71822
5/8/2023,13247.09,13291.64,13302.43,13193.08,69815
5/5/2023,13070.7,13259.13,13291.11,13059.91,75534
5/4/2023,13014.08,12982.48,13064.02,12938.45,75777
5/3/2023,13123.1,13030.21,13231.71,13026.04,82792
5/2/2023,13225.48,13113.66,13241.53,13046.79,75736
5/1/2023,13229.12,13231.47,13287.47,13186.4,69103
4/28/2023,13139.35,13245.99,13247.39,13096.94,86741
4/27/2023,12963.21,13160.03,13175.62,12938.5,93664
4/26/2023,12866.64,12806.49,12929.62,12783.42,88727
4/25/2023,12905.09,12725.11,12933.28,12724.24,74262
4/24/2023,12981.71,12969.76,13044.23,12883.77,65068
4/21/2023,12970.32,13000.77,13030.85,12899.64,65692
4/20/2023,12962.29,12985.98,13107.92,12933.8,77313
4/19/2023,12992.51,13088.72,13128.25,12988.2,59509
4/18/2023,13180.31,13091.79,13196.18,13044.21,59979
4/17/2023,13053.26,13087.71,13105.68,12981.26,60850
4/14/2023,13044.69,13079.52,13152.29,12962.51,61053
4/13/2023,12922.9,13109.39,13124.41,12920.02,65064
4/12/2023,13043.97,12848.35,13071.98,12833.31,72024
4/11/2023,13040.49,12964.16,13049.56,12947.66,64428
4/10/2023,12936.52,13051.23,13051.85,12861.52,64187
4/6/2023,12892.9,13062.6,13078.1,12846.03,68877
4/5/2023,13056.79,12967.2,13065.28,12894.44,72194
4/4/2023,13165.32,13100.08,13204.08,13049.98,65829
4/3/2023,13084.1,13148.35,13157.47,13036.55,71165
3/31/2023,12968.96,13181.35,13188.83,12968,79197
3/30/2023,12934.99,12963.14,12987.97,12894.14,71117
3/29/2023,12768.14,12846.03,12867.32,12734.68,76094
3/28/2023,12654.91,12610.57,12654.91,12517.87,64635
3/27/2023,12797.9,12673.07,12839.42,12647.94,66927
3/24/2023,12700.51,12767.05,12770.28,12608.15,76790
3/23/2023,12735.6,12729.23,12900.1,12611.67,86180
3/22/2023,12742.41,12567.15,12943.62,12563.78,90558
3/21/2023,12643.35,12741.44,12762.45,12582.76,84803
3/20/2023,12487.79,12562.61,12578.35,12407.82,80421
3/17/2023,12570.16,12519.88,12674.34,12444.08,100925
3/16/2023,12211.87,12581.39,12595.69,12190.65,102196
3/15/2023,12083.24,12251.32,12269.45,12026.18,92013
3/14/2023,12078.46,12199.79,12217.87,12035.22,83768
3/13/2023,11752.1,11923.17,12073.96,11695.41,95509
3/10/2023,12001.7,11830.28,12069.62,11789.86,95515
3/9/2023,12230.84,11995.88,12340.45,11970.34,83627
3/8/2023,12181.06,12215.33,12237.72,12102.28,74677
3/7/2023,12303.19,12152.17,12344.05,12130.01,76378
3/6/2023,12344.65,12302.48,12466.88,12297.57,75227
3/3/2023,12110.71,12290.81,12300.46,12095.24,79456
3/2/2023,11830.09,12044.87,12074.59,11830.09,77164
3/1/2023,12026.72,11938.57,12054.48,11906.58,72748
2/28/2023,12041.75,12042.12,12146.52,12021.32,71453
2/27/2023,12106.79,12057.79,12159.64,12034.61,68292
2/24/2023,11979.8,11969.65,12018.32,11900.84,75085
2/23/2023,12224.44,12180.14,12227.4,12003.31,90669
2/22/2023,12085.67,12066.27,12156.21,12006.04,82704
2/21/2023,12205.21,12060.3,12257.06,12058.23,81379
2/17/2023,12352.3,12358.19,12385.52,12233.79,80006
2/16/2023,12495.07,12442.48,12653.4,12440,88694
2/15/2023,12531.6,12687.89,12689.34,12486.42,78984
2/14/2023,12413.1,12590.89,12627.4,12356.32,85632
2/13/2023,12356.5,12502.31,12522.78,12313.45,76608
2/10/2023,12306.59,12304.92,12375.72,12204.22,87079
2/9/2023,12677.54,12381.17,12679.54,12327.44,101036
2/8/2023,12680.03,12495.38,12709.45,12471.12,95231
2/7/2023,12474.95,12728.27,12771.59,12419.71,101447
2/6/2023,12468.81,12464.52,12558.88,12411.88,83313
2/3/2023,12520.95,12573.36,12828.71,12520.95,115072
2/2/2023,12655.18,12803.14,12880.98,12600.76,137286
2/1/2023,12087.92,12363.1,12458.88,12010.74,109466
1/31/2023,11915.95,12101.93,12104.13,11915.95,82826
1/30/2023,12047.16,11912.39,12087.68,11906.11,91189
1/27/2023,12000.21,12166.6,12248.15,11999.87,123541
1/26/2023,11972.57,12051.48,12055.81,11853.37,85026
1/25/2023,11636.01,11814.69,11841.81,11550.07,86555
1/24/2023,11802.95,11846.65,11889.37,11780.07,73832
1/23/2023,11652,11872.54,11918.86,11617.83,95039
1/20/2023,11363.85,11619.03,11623.2,11329.54,84576
1/19/2023,11345.19,11295.67,11388.47,11251.94,77651
1/18/2023,11636.61,11410.29,11690.27,11403.32,82704
1/17/2023,11531.55,11557.19,11615.95,11484.02,77860
1/13/2023,11362.13,11541.48,11547.96,11347.6,72405
1/12/2023,11441.46,11459.61,11500.86,11246.02,82896
1/11/2023,11259.16,11402.53,11403.89,11220.75,79549
1/10/2023,11069.05,11205.78,11207.56,11050.68,71651
1/9/2023,11133.07,11108.45,11304.84,11085.33,85199
1/6/2023,10807.46,11040.35,11082.59,10696.42,1
1/5/2023,10837.25,10741.22,10842.33,10728.26,78149
1/4/2023,10949.34,10914.8,10981.46,10785.53,87610
1/3/2023,11038.43,10862.64,11093.1,10770.93,85400
12/30/2022,10835.59,10939.76,10942.9,10778.64,61749
12/29/2022,10800.8,10951.05,10981.06,10776.62,70099
12/28/2022,10807.12,10679.35,10898.64,10671.19,70673
12/27/2022,10944.3,10822.51,10957.44,10807.61,68202
12/23/2022,10911.04,10985.45,11007.09,10830.9,62942
12/22/2022,11099.36,10956.14,11114.23,10784.02,90166
12/21/2022,11110.65,11235.88,11285.78,11083.36,69545
12/20/2022,11023.47,11072.43,11143.62,10967.07,75773
12/19/2022,11243,11084.59,11251.57,11029.77,73179
12/16/2022,11313.64,11243.72,11383.39,11175.54,95540
12/15/2022,11573.38,11345.22,11591.33,11300.35,86195
12/14/2022,11824.54,11740.92,11941.28,11617.41,87053
12/13/2022,12141.24,11834.21,12166.41,11724.91,101483
12/12/2022,11572.26,11706.44,11707.71,11529.41,72824
12/9/2022,11594.38,11563.33,11707.09,11550.31,72696
12/8/2022,11543.68,11637.5,11672.14,11470.68,73240
12/7/2022,11490.99,11497.39,11577.69,11431.96,68417
12/6/2022,11775.21,11549.69,11790.93,11488.6,74178
12/5/2022,11899.54,11786.8,11957.36,11732.15,70226
12/2/2022,11845.53,11994.26,12027.62,11825.53,72707
12/1/2022,12030.24,12041.9,12115.34,11928.66,76893
11/30/2022,11505.74,12030.06,12031.34,11481.89,103306
11/29/2022,11590.3,11503.45,11613.33,11450.34,65063
11/28/2022,11684.07,11587.75,11764.83,11555.26,67446
11/25/2022,11777.33,11756.03,11803.91,11748.79,32748
11/23/2022,11725.08,11838.72,11866.42,11722.01,64419
11/22/2022,11590.83,11724.84,11731.76,11503.34,66120
11/21/2022,11623.35,11553.45,11664.94,11524.44,69974
11/18/2022,11791.85,11677.02,11794.68,11579.64,73394
11/17/2022,11521.64,11676.86,11737.61,11519.38,78681
11/16/2022,11767.42,11699.09,11796.99,11673.14,75552
11/15/2022,12006.45,11871.15,12024.95,11735.4,94801
11/14/2022,11728.11,11700.94,11863.82,11669.1,87290
11/11/2022,11604.36,11817.01,11840.07,11535.56,105625
11/10/2022,11350.42,11605.96,11612.2,11235.74,119681
11/9/2022,10971.43,10797.55,11012.66,10790.35,88091
11/8/2022,11039.58,11059.5,11191.9,10897.53,91422
11/7/2022,10900.84,10977,11001.16,10817.59,85889
11/4/2022,10911.99,10857.03,10934.62,10632.39,113890
11/3/2022,10769.43,10690.6,10852.18,10680.83,103759
11/2/2022,11300.27,10906.34,11410.91,10903.48,111921
11/1/2022,11571.53,11288.95,11574.39,11278.28,95674
10/31/2022,11465.21,11405.57,11482.99,11331.26,90474
10/28/2022,11176.99,11546.21,11563.16,11176.99,119295
10/27/2022,11387.71,11191.63,11417.04,11179.9,109419
10/26/2022,11409.79,11405.9,11657.06,11388.34,105150
10/25/2022,11482.87,11669.99,11681.85,11480.41,83482
10/24/2022,11321.11,11430.26,11468.18,11166.49,91450
10/21/2022,10998.17,11310.33,11327.77,10962.01,87981
10/20/2022,11081.23,11046.71,11279.81,11001.28,79979
10/19/2022,11081.82,11103.38,11231.46,11008.11,71524
10/18/2022,11368.76,11147.74,11374.38,11035.8,86519
10/17/2022,10967.25,11062.53,11090.87,10959.75,1
10/14/2022,11130.08,10692.06,11152.89,10677.48,86044
10/13/2022,10481.58,11033.58,11087.66,10440.64,111905
10/12/2022,10810.3,10785.62,10886.49,10754.85,75829
10/11/2022,10865.32,10791.35,10981.91,10716.33,91699
10/10/2022,11048.51,10926.97,11063.21,10824.25,79678
10/7/2022,11272.46,11039.47,11293.65,10991.66,87285
10/6/2022,11556.4,11485.5,11660.55,11472.83,70672
10/5/2022,11429.47,11573.18,11647.62,11312.52,73325
10/4/2022,11477.85,11582.54,11609.25,11462.37,84346
10/3/2022,11059.17,11229.73,11296.43,10985.01,81040
9/30/2022,11123.11,10971.22,11296.16,10966.95,84333
9/29/2022,11334.57,11164.78,11339.91,11038.94,85443
9/28/2022,11258.74,11493.83,11546.87,11210.81,81333
9/27/2022,11411.34,11271.75,11502.38,11175.29,78734
9/26/2022,11283.14,11254.11,11473.36,11235.74,75535
9/23/2022,11398.75,11311.24,11402.41,11169.66,84842
9/22/2022,11574.32,11501.65,11617.99,11448.86,82373
9/21/2022,11892.72,11637.79,12062.52,11636.25,83948
9/20/2022,11855.84,11851.54,11951.13,11761.69,69191
9/19/2022,11753.6,11953.28,11956.79,11752.43,66949
9/16/2022,11775.94,11861.38,11875.09,11710.26,98066
9/15/2022,12034.43,11927.49,12153.34,11867.88,82104
9/14/2022,12040.52,12134.4,12170.25,12016.43,77357
9/13/2022,12364.83,12033.62,12420.01,12004.42,88156
9/12/2022,12649.24,12739.72,12752.83,12639.76,68919
9/9/2022,12424.15,12588.29,12610.43,12424.15,70252
9/8/2022,12139.57,12321.19,12374.13,12120.26,72829
9/7/2022,12038.18,12259.39,12298.12,12026.98,66595
9/6/2022,12106.57,12011.31,12152.42,11928.81,70082
9/2/2022,12392.46,12098.44,12451.29,12035.53,72932
9/1/2022,12158.88,12274.63,12290.33,12012.98,86248
8/31/2022,12448.07,12272.03,12502.15,12268.08,68912
8/30/2022,12562.4,12342.7,12572.88,12240.82,69313
8/29/2022,12488.46,12484.32,12594.34,12440.4,64184
8/26/2022,13129.91,12605.17,13175.25,12603.41,74213
8/25/2022,12984.74,13143.58,13146.84,12951.61,62311
8/24/2022,12876.23,12917.86,12995.14,12843.58,51600
8/23/2022,12885.28,12881.79,13000.71,12852.7,52317
8/22/2022,13056.39,12890.54,13073.07,12859.82,56189
8/19/2022,13370.25,13242.9,13402.61,13210.82,56114
8/18/2022,13474.24,13505.99,13553.28,13405.74,57323
8/17/2022,13499.24,13470.86,13591.58,13389.82,58272
8/16/2022,13617.66,13635.21,13720.91,13508.47,55370
8/15/2022,13529.66,13667.18,13685.65,13524.53,51964
8/12/2022,13384.65,13565.87,13565.87,13341.65,57920
8/11/2022,13471.03,13291.99,13555.38,13271.35,58672
8/10/2022,13330.66,13378.32,13386.85,13220.05,65875
8/9/2022,13064.24,13008.17,13095.7,12945.6,63388
8/8/2022,13227.09,13159.16,13394.54,13103.8,66787
8/5/2022,13107.45,13207.69,13286.02,13070.36,60911
8/4/2022,13253.77,13311.04,13326.72,13170.44,1
8/3/2022,12983.58,13253.26,13289.19,12974.85,78554
8/2/2022,12853.04,12901.6,13073.27,12809.01,67432
8/1/2022,12877.04,12940.78,13084.61,12833.16,69841
7/29/2022,12784.2,12947.98,12986.64,12726.25,87845
7/28/2022,12580.62,12717.87,12741.83,12433.55,74854
7/27/2022,12299.34,12601.47,12660.77,12256.94,77178
7/26/2022,12248.21,12086.9,12259.01,12051.21,61888
7/25/2022,12391.21,12328.41,12415.59,12244.4,55326
7/22/2022,12575.76,12396.47,12662.86,12322.82,69642
7/21/2022,12466.13,12619.41,12620.5,12351.42,68684
7/20/2022,12269.07,12439.68,12488.39,12232.2,76004
7/19/2022,12046.69,12249.42,12258.37,11967.92,71641
7/18/2022,12089.68,11877.5,12156.09,11836.52,67421
7/15/2022,11896.15,11983.62,11987.52,11828.13,61693
7/14/2022,11637.18,11768.4,11801.11,11488.27,60473
7/13/2022,11523.91,11728.53,11819.69,11498.96,60603
7/12/2022,11926.84,11744.99,11990.44,11684.02,59601
7/11/2022,12008.76,11860.28,12026.06,11830.89,54176
7/8/2022,11977.96,12125.69,12179.32,11956.03,54753
7/7/2022,11913.73,12109.05,12137.71,11897.51,61728
7/6/2022,11807.08,11852.59,11941.31,11727.36,62017
7/5/2022,11419.34,11779.91,11781.74,11366.07,72472
7/1/2022,11472.63,11585.68,11592.85,11378.63,68042
6/30/2022,11532.32,11503.72,11650.97,11322.86,76539
6/29/2022,11619.01,11658.26,11710.21,11537.72,61519
6/28/2022,12021.34,11637.77,12133.87,11633.13,67273
6/27/2022,12157.93,12008.24,12175.98,11965.67,58694
6/24/2022,11826.95,12105.85,12112.82,11812.18,69274
6/23/2022,11622.09,11697.68,11729.62,11515.49,70630
