symbol,date,open,close,high,low,volume
SP-500,11/23/2020,3566.82,3577.59,3589.81,3552.77,255859
SP-500,11/20/2020,3579.31,3557.54,3581.23,3556.85,228250
SP-500,11/19/2020,3559.41,3581.87,3585.22,3543.84,234263
SP-500,11/18/2020,3612.09,3567.79,3619.09,3567.33,277571
SP-500,11/17/2020,3610.31,3609.53,3623.11,3588.68,246169
SP-500,11/16/2020,3600.16,3626.91,3628.51,3600.16,286624
SP-500,11/13/2020,3552.57,3585.15,3593.66,3552.57,228495
SP-500,11/12/2020,3562.67,3537.01,3569.02,3518.58,242309
SP-500,11/11/2020,3563.22,3572.66,3581.16,3557,251998
SP-500,11/10/2020,3543.26,3545.53,3557.22,3511.91,346506
SP-500,11/9/2020,3583.04,3550.5,3645.99,3547.48,508575
SP-500,11/6/2020,3508.34,3509.44,3521.58,3484.34,217826
SP-500,11/5/2020,3485.74,3510.45,3529.05,3485.74,256928
SP-500,11/4/2020,3406.46,3443.44,3486.25,3405.17,291604
SP-500,11/3/2020,3336.25,3369.02,3389.49,3336.25,234681
SP-500,11/2/2020,3296.2,3310.24,3330.14,3279.74,253664
SP-500,10/30/2020,3293.59,3269.96,3304.93,3233.94,301509
SP-500,10/29/2020,3277.17,3310.11,3341.05,3259.82,275700
SP-500,10/28/2020,3342.48,3271.03,3342.48,3268.89,315802
SP-500,10/27/2020,3403.15,3390.68,3409.51,3388.71,239698
SP-500,10/26/2020,3441.42,3400.97,3441.42,3364.86,245242
SP-500,10/23/2020,3464.9,3465.39,3466.46,3440.45,218505
SP-500,10/22/2020,3438.5,3453.49,3460.53,3415.34,243835
SP-500,10/21/2020,3439.91,3435.56,3464.86,3433.06,209245
SP-500,10/20/2020,3439.38,3443.12,3476.93,3435.65,214136
SP-500,10/19/2020,3493.66,3426.92,3502.42,3419.93,221130
SP-500,10/16/2020,3493.5,3483.81,3515.76,3480.45,224855
SP-500,10/15/2020,3453.72,3483.34,3489.08,3440.89,204388
SP-500,10/14/2020,3515.47,3488.67,3527.94,3480.55,222146
SP-500,10/13/2020,3534.01,3511.93,3534.01,3500.86,239520
SP-500,10/12/2020,3500.02,3534.22,3549.85,3499.61,228215
SP-500,10/9/2020,3459.67,3477.13,3482.34,3458.07,224992
SP-500,10/8/2020,3434.28,3446.83,3447.28,3428.15,212983
SP-500,10/7/2020,3384.56,3419.45,3426.26,3384.56,211978
SP-500,10/6/2020,3408.74,3360.95,3431.56,3354.54,260086
SP-500,10/5/2020,3367.27,3408.63,3409.57,3367.27,207799
SP-500,10/2/2020,3338.94,3348.44,3369.1,3323.69,240912
SP-500,10/1/2020,3385.87,3380.8,3397.18,3361.39,235777
SP-500,9/30/2020,3341.21,3363,3393.56,3340.47,264743
SP-500,9/29/2020,3350.92,3335.47,3357.92,3327.54,198024
SP-500,9/28/2020,3333.9,3351.6,3360.74,3332.91,224900
SP-500,9/25/2020,3236.66,3298.46,3306.88,3228.44,223427
SP-500,9/24/2020,3226.14,3246.59,3278.7,3209.45,247588
SP-500,9/23/2020,3320.11,3236.92,3323.35,3232.57,254419
SP-500,9/22/2020,3295.75,3315.57,3320.31,3270.95,242832
SP-500,9/21/2020,3285.57,3281.06,3285.57,3229.1,306524
SP-500,9/18/2020,3357.38,3319.47,3362.27,3292.4,407036
SP-500,9/17/2020,3346.86,3357.01,3375.17,3328.82,278583
SP-500,9/16/2020,3411.23,3385.49,3428.92,3384.45,288750
SP-500,9/15/2020,3407.73,3401.2,3419.48,3389.25,252709
SP-500,9/14/2020,3363.56,3383.54,3402.93,3363.56,240188
SP-500,9/11/2020,3352.7,3340.97,3368.95,3310.47,236072
SP-500,9/10/2020,3412.56,3339.19,3425.55,3329.25,261204
SP-500,9/9/2020,3369.82,3398.96,3424.77,3366.84,251777
SP-500,9/8/2020,3371.88,3331.84,3379.97,3329.27,311219
SP-500,9/4/2020,3453.6,3426.96,3479.15,3349.63,309803
SP-500,9/3/2020,3564.74,3455.06,3564.85,3427.41,321456
SP-500,9/2/2020,3543.76,3580.84,3588.11,3535.23,263467
SP-500,9/1/2020,3507.44,3526.65,3528.03,3494.6,229543
SP-500,8/31/2020,3509.73,3500.31,3514.77,3493.25,237225
SP-500,8/28/2020,3494.69,3508.01,3509.23,3484.32,203995
SP-500,8/27/2020,3485.14,3484.55,3501.38,3468.35,230284
SP-500,8/26/2020,3449.97,3478.73,3481.07,3444.15,201063
SP-500,8/25/2020,3435.95,3443.62,3444.21,3425.84,202761
SP-500,8/24/2020,3418.09,3431.28,3432.09,3413.13,226046
SP-500,8/21/2020,3386.01,3397.16,3399.96,3379.31,198897
SP-500,8/20/2020,3360.48,3385.51,3390.8,3354.69,183407
SP-500,8/19/2020,3392.51,3374.85,3399.54,3369.66,200185
SP-500,8/18/2020,3387.04,3389.78,3395.06,3370.15,174948
SP-500,8/17/2020,3380.86,3381.99,3387.59,3379.22,193632
SP-500,8/14/2020,3368.66,3372.85,3378.51,3361.64,169605
SP-500,8/13/2020,3372.95,3373.43,3387.24,3363.35,196962
SP-500,8/12/2020,3355.46,3380.35,3387.89,3355.46,224766
SP-500,8/11/2020,3370.34,3333.69,3381.01,3326.44,288059
SP-500,8/10/2020,3356.04,3360.47,3363.29,3335.44,254655
SP-500,8/7/2020,3340.05,3351.28,3352.54,3328.72,227083
SP-500,8/6/2020,3323.17,3349.16,3351.03,3318.14,240269
SP-500,8/5/2020,3317.37,3327.77,3330.77,3317.37,242555
SP-500,8/4/2020,3289.92,3306.51,3306.84,3286.37,237556
SP-500,8/3/2020,3288.26,3294.61,3302.73,3284.53,235122
SP-500,7/31/2020,3270.45,3271.12,3272.17,3220.26,303582
SP-500,7/30/2020,3231.76,3246.22,3250.92,3204.13,239955
SP-500,7/29/2020,3227.22,3258.44,3264.74,3227.22,243099
SP-500,7/28/2020,3234.27,3218.44,3243.72,3216.17,223035
SP-500,7/27/2020,3219.84,3239.41,3241.43,3214.25,233185
SP-500,7/24/2020,3218.58,3215.63,3227.26,3200.05,244575
SP-500,7/23/2020,3271.64,3235.66,3279.99,3222.66,273492
SP-500,7/22/2020,3254.86,3276.02,3279.32,3253.1,238371
SP-500,7/21/2020,3268.52,3257.3,3277.29,3247.77,242687
SP-500,7/20/2020,3224.29,3251.84,3258.61,3215.16,207122
SP-500,7/17/2020,3224.21,3224.73,3233.52,3205.65,220027
SP-500,7/16/2020,3208.36,3215.57,3220.39,3198.59,220152
SP-500,7/15/2020,3225.98,3226.56,3238.28,3200.76,282620
SP-500,7/14/2020,3141.11,3197.52,3200.95,3127.66,264169
SP-500,7/13/2020,3205.08,3155.22,3235.32,3149.43,270843
SP-500,7/10/2020,3152.47,3185.04,3186.82,3136.22,240522
SP-500,7/9/2020,3176.17,3152.05,3179.78,3115.7,256403
SP-500,7/8/2020,3153.07,3169.94,3171.8,3136.53,237784
SP-500,7/7/2020,3166.44,3145.32,3184.15,3142.93,227970
SP-500,7/6/2020,3155.29,3179.72,3182.59,3155.29,237079
SP-500,7/2/2020,3143.64,3130.01,3165.81,3124.52,230645
SP-500,7/1/2020,3105.92,3115.86,3128.44,3101.17,266614
SP-500,6/30/2020,3050.2,3100.29,3111.51,3047.83,272085
SP-500,6/29/2020,3018.59,3053.24,3053.89,2999.74,258157
SP-500,6/26/2020,3073.2,3009.05,3073.73,3004.63,435412
SP-500,6/25/2020,3046.6,3083.76,3086.25,3024.01,269824
SP-500,6/24/2020,3114.4,3050.33,3115.01,3032.13,317282
SP-500,6/23/2020,3138.7,3131.29,3154.9,3127.12,269016
SP-500,6/22/2020,3094.42,3117.86,3120.92,3079.39,253392
SP-500,6/19/2020,3140.29,3097.74,3155.53,3083.11,489892
SP-500,6/18/2020,3101.64,3115.34,3120,3093.51,237235
SP-500,6/17/2020,3136.13,3113.49,3141.16,3108.03,244325
SP-500,6/16/2020,3131,3124.74,3153.45,3076.06,323812
SP-500,6/15/2020,2993.76,3066.59,3079.76,2965.66,315560
SP-500,6/12/2020,3071.04,3041.31,3088.42,2984.47,333983
SP-500,6/11/2020,3123.53,3002.1,3123.53,2999.49,406863
SP-500,6/10/2020,3213.42,3190.14,3223.27,3181.49,351362
SP-500,6/9/2020,3213.32,3207.18,3222.71,3193.11,308781
SP-500,6/8/2020,3199.92,3232.39,3233.13,3196,362231
SP-500,6/5/2020,3163.84,3193.93,3211.72,3163.84,470439
SP-500,6/4/2020,3111.56,3112.35,3128.91,3090.41,366436
SP-500,6/3/2020,3098.9,3122.87,3130.94,3098.9,305966
SP-500,6/2/2020,3064.78,3080.82,3081.07,3051.64,272193
SP-500,6/1/2020,3038.78,3055.73,3062.18,3031.54,240552
SP-500,5/29/2020,3025.17,3044.31,3049.17,2998.61,422842
SP-500,5/28/2020,3046.61,3029.73,3068.67,3023.4,307717
SP-500,5/27/2020,3015.65,3036.13,3036.25,2969.75,359804
SP-500,5/26/2020,3004.08,2991.77,3021.72,2988.17,327782
SP-500,5/22/2020,2948.05,2955.45,2956.76,2933.59,213477
SP-500,5/21/2020,2969.95,2948.51,2978.5,2938.57,270666
SP-500,5/20/2020,2953.63,2971.61,2980.29,2953.63,278925
SP-500,5/19/2020,2948.59,2922.94,2964.21,2922.35,277912
SP-500,5/18/2020,2913.86,2953.91,2968.09,2913.86,356951
SP-500,5/15/2020,2829.95,2863.7,2865.01,2816.78,324624
